"ID","Name","cpumfs/im_Utilization"
6,DataAggregator:138.42.110.42,4.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,3.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,10.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,3.0
6,DataAggregator:138.42.110.42,6.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,8.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,3.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,3.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,5.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,5.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,3.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,3.0
6,DataAggregator:138.42.110.42,6.0
6,DataAggregator:138.42.110.42,7.0
6,DataAggregator:138.42.110.42,4.0
6,DataAggregator:138.42.110.42,12.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,3.0
6,DataAggregator:138.42.110.42,3.0
6,DataAggregator:138.42.110.42,3.0
6,DataAggregator:138.42.110.42,5.0
6,DataAggregator:138.42.110.42,3.0
6,DataAggregator:138.42.110.42,4.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,3.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,4.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,3.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,3.0
6,DataAggregator:138.42.110.42,3.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,6.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,3.0
6,DataAggregator:138.42.110.42,10.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,3.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,3.0
6,DataAggregator:138.42.110.42,3.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,3.0
6,DataAggregator:138.42.110.42,3.0
6,DataAggregator:138.42.110.42,5.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,4.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,4.0
6,DataAggregator:138.42.110.42,3.0
6,DataAggregator:138.42.110.42,3.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,3.0
6,DataAggregator:138.42.110.42,3.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,3.0
6,DataAggregator:138.42.110.42,7.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,3.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,3.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,3.0
6,DataAggregator:138.42.110.42,1.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,3.0
6,DataAggregator:138.42.110.42,7.0
6,DataAggregator:138.42.110.42,1.0
6,DataAggregator:138.42.110.42,1.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,3.0
6,DataAggregator:138.42.110.42,3.0
6,DataAggregator:138.42.110.42,3.0
6,DataAggregator:138.42.110.42,1.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,3.0
6,DataAggregator:138.42.110.42,3.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,3.0
6,DataAggregator:138.42.110.42,3.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,3.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,3.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,4.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,3.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,3.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,3.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,2.0
6,DataAggregator:138.42.110.42,3.0
6,DataAggregator:138.42.110.42,8.0
175,norja08-pmdc,19.0
175,norja08-pmdc,22.0
175,norja08-pmdc,19.0
175,norja08-pmdc,19.0
175,norja08-pmdc,23.0
175,norja08-pmdc,19.0
175,norja08-pmdc,19.0
175,norja08-pmdc,19.0
175,norja08-pmdc,18.0
175,norja08-pmdc,18.0
175,norja08-pmdc,19.0
175,norja08-pmdc,18.0
175,norja08-pmdc,19.0
175,norja08-pmdc,19.0
175,norja08-pmdc,19.0
175,norja08-pmdc,20.0
175,norja08-pmdc,19.0
175,norja08-pmdc,19.0
175,norja08-pmdc,13.0
175,norja08-pmdc,13.0
175,norja08-pmdc,13.0
175,norja08-pmdc,15.0
175,norja08-pmdc,14.0
175,norja08-pmdc,21.0
175,norja08-pmdc,13.0
175,norja08-pmdc,13.0
175,norja08-pmdc,19.0
175,norja08-pmdc,20.0
175,norja08-pmdc,13.0
175,norja08-pmdc,15.0
175,norja08-pmdc,14.0
175,norja08-pmdc,14.0
175,norja08-pmdc,13.0
175,norja08-pmdc,14.0
175,norja08-pmdc,14.0
175,norja08-pmdc,14.0
175,norja08-pmdc,13.0
175,norja08-pmdc,14.0
175,norja08-pmdc,14.0
175,norja08-pmdc,14.0
175,norja08-pmdc,13.0
175,norja08-pmdc,14.0
175,norja08-pmdc,13.0
175,norja08-pmdc,14.0
175,norja08-pmdc,15.0
175,norja08-pmdc,13.0
175,norja08-pmdc,13.0
175,norja08-pmdc,13.0
175,norja08-pmdc,13.0
175,norja08-pmdc,13.0
175,norja08-pmdc,13.0
175,norja08-pmdc,14.0
175,norja08-pmdc,18.0
175,norja08-pmdc,18.0
175,norja08-pmdc,13.0
175,norja08-pmdc,13.0
175,norja08-pmdc,16.0
175,norja08-pmdc,19.0
175,norja08-pmdc,14.0
175,norja08-pmdc,14.0
175,norja08-pmdc,14.0
175,norja08-pmdc,14.0
